"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","phase","condition","syn_level","sem_level","modal_pres","sent_id","section_id","question_order","comp_correct","comp_response","comp_accuracy"
"[{""page_index"":0,""viewing_time"":1902},{""page_index"":1,""viewing_time"":3228}]","5129","instructions","0","5196","0.0-0.0","","","","","","","","","","","","",""
"","33111","html-button-response","1","38309","0.0-1.0","<p>Trial 1 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>If at the termination of any fiscal year the legislature shall have failed to pass appropriation bills providing for payments of the necessary current expenses of the government and meeting its legal obligations for the ensuing fiscal year, then the several sums appropriated in the last appropriation bills for the objects and purposes therein specified, so far as the same may be applicable, shall be deemed to be reappropriated, item by item.</p>
            </div>
            ","0","read","HLS","high","low","S","/us/usc/t48/s1423j__s1_k3","/us/usc/t48/s1423j","","","",""
"","44060","survey-multi-choice","2","82370","0.0-2.0","","{""comp"":""The amounts from the most recent appropriation bills are treated as reapproved for the same purposes.""}","comprehension","HLS","","","","/us/usc/t48/s1423j__s1_k3","","[0]","""The amounts from the most recent appropriation bills are treated as reapproved for the same purposes.""","","false"
"","4680","survey-likert","3","87051","0.0-3.0","","{""Q0"":3}","authority_rating","HLS","","","","/us/usc/t48/s1423j__s1_k3","","[0]","","",""
"","74007","survey-text","4","161061","0.0-4.0","","{""Q0"":""The language (shall, etc) reads as legal-type language, which reads as authoritative. Additionally, there is a built in continuity within the government in place, which makes it seem thoughtout out and institutional.""}","authority_explanation","HLS","","","","/us/usc/t48/s1423j__s1_k3","","","","",""
"","12260","html-button-response","5","173321","0.0-5.0","<p>Trial 2 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>No funds provided under this section may be used to construct or renovate a building or structure. Section was enacted as part of the America COMPETES Reauthorization Act of 2010, also known as the America Creating Opportunities to Meaningfully Promote Excellence in Technology, Education, and Science Reauthorization Act of 2010, and also as part of the National Science Foundation Authorization Act of 2010, and not as part of the National Science Foundation Act of 1950 which comprises this chapter.</p>
            </div>
            ","0","read","HLM","high","low","partial_may","/us/usc/t42/s1862p–2__s10_k3","/us/usc/t42/s1862p–2","","","",""
"","28189","survey-multi-choice","6","201510","0.0-6.0","","{""comp"":""They may not be used to construct or renovate a building or structure.""}","comprehension","HLM","","","","/us/usc/t42/s1862p–2__s10_k3","","[0]","""They may not be used to construct or renovate a building or structure.""","","false"
"","21245","survey-likert","7","222756","0.0-7.0","","{""Q0"":3}","authority_rating","HLM","","","","/us/usc/t42/s1862p–2__s10_k3","","[0]","","",""
"","47674","survey-text","8","270431","0.0-8.0","","{""Q0"":""It uses firm legal language for how the funds can be used (no funds may be used), but not \""shall\"" so not very authoritative. But the heavy explanatory and historical context also softens the authoritative tone.""}","authority_explanation","HLM","","","","/us/usc/t42/s1862p–2__s10_k3","","","","",""
"","8386","html-button-response","9","278817","0.0-9.0","<p>Trial 3 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The Secretary may readjust the terms and conditions, except as otherwise provided herein, of any geothermal lease issued under this chapter at not less than ten-year intervals beginning ten years after the date the geothermal steam is produced, as determined by the Secretary. Each geothermal lease issued under this chapter shall provide for such readjustment. The Secretary shall give notice of any proposed readjustment of terms and conditions, and, unless the lessee files with the Secretary objection to the proposed terms or relinquishes the lease within thirty days after receipt of such notice, the lessee shall conclusively be deemed to have agreed with such terms and conditions.</p>
            </div>
            ","0","read","HHS","high","high","S","/us/usc/t30/s1007__s1_k3","/us/usc/t30/s1007","","","",""
"","45720","survey-multi-choice","10","324538","0.0-10.0","","{""comp"":""When the lessee does not object to the proposed terms or relinquish the lease within thirty days after receiving notice.""}","comprehension","HHS","","","","/us/usc/t30/s1007__s1_k3","","[0]","""When the lessee does not object to the proposed terms or relinquish the lease within thirty days after receiving notice.""","","false"
"","2940","survey-likert","11","327479","0.0-11.0","","{""Q0"":4}","authority_rating","HHS","","","","/us/usc/t30/s1007__s1_k3","","[0]","","",""
"","42361","survey-text","12","369842","0.0-12.0","","{""Q0"":""Seems to give unilateral power to the Secretary and uses strong language like \""shall\"" and fixed, hard deadlines. Automatic consent also seems to reinforce strong regulatory tone. ""}","authority_explanation","HHS","","","","/us/usc/t30/s1007__s1_k3","","","","",""
"","20804","html-button-response","13","390646","0.0-13.0","<p>Trial 4 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>Where miners are exposed to danger from falls of roof, face, and ribs the operator shall examine and test the roof, face, and ribs before any work or machine is started, and as frequently thereafter as may be necessary to insure safety. When dangerous conditions are found, they shall be corrected immediately.</p>
            </div>
            ","0","read","HLS","high","low","S","/us/usc/t30/s862__s31_k3","/us/usc/t30/s862","","","",""
"","17676","survey-multi-choice","14","408322","0.0-14.0","","{""comp"":""Examine and test the roof, face, and ribs before work or machines start and as often as needed afterward, and correct dangerous conditions immediately.""}","comprehension","HLS","","","","/us/usc/t30/s862__s31_k3","","[0]","""Examine and test the roof, face, and ribs before work or machines start and as often as needed afterward, and correct dangerous conditions immediately.""","","false"
"","4170","survey-likert","15","412493","0.0-15.0","","{""Q0"":4}","authority_rating","HLS","","","","/us/usc/t30/s862__s31_k3","","[0]","","",""
"","43591","survey-text","16","456085","0.0-16.0","","{""Q0"":""Repeats mandatory, strong language (shall) that conveys clear, non-negotiable duties to be followed. Also, focuses on immediate action tied to safety.""}","authority_explanation","HLS","","","","/us/usc/t30/s862__s31_k3","","","","",""
"","6441","html-button-response","17","462526","0.0-17.0","<p>Trial 5 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>An apprentice may:
A) drive a commercial motor vehicle in interstate commerce while participating in the 120-hour probationary period under paragraph (2)(A) or the 280-hour probationary period under paragraph (2)(B) pursuant to an apprenticeship program established by an employer in accordance with this section; and 
(B) drive a commercial motor vehicle in interstate commerce after the apprentice completes an apprenticeship program described in paragraph (2), unless the Secretary determines there exists a safety concern.</p>
            </div>
            ","0","read","HLM","high","low","partial_may","/us/usc/t49/s31315__s142_k3","/us/usc/t49/s31315","","","",""
"","15610","survey-multi-choice","18","478136","0.0-18.0","","{""comp"":""While participating in specified probationary periods and after completing the apprenticeship program, unless the Secretary determines there is a safety concern.""}","comprehension","HLM","","","","/us/usc/t49/s31315__s142_k3","","[0]","""While participating in specified probationary periods and after completing the apprenticeship program, unless the Secretary determines there is a safety concern.""","","false"
"","3106","survey-likert","19","481244","0.0-19.0","","{""Q0"":3}","authority_rating","HLM","","","","/us/usc/t49/s31315__s142_k3","","[0]","","",""
"","50212","survey-text","20","531457","0.0-20.0","","{""Q0"":""Uses softer legal language (may) but gives structured conditions which give legal authority without sounded punitive. Inclusion of qualifications and override softens the tone a little bit, though.""}","authority_explanation","HLM","","","","/us/usc/t49/s31315__s142_k3","","","","",""
"","7884","html-button-response","21","539342","0.0-21.0","<p>Trial 6 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>As the Administrator deems necessary in the public interest, the Administrator may direct officers and employees of the Administration to carry firearms while in the conduct of their official duties; and authorize employees of contractors and subcontractors of the Administration who are engaged in the protection of property owned by the United States, and located at facilities owned by or contracted to the United States, to carry firearms while in the conduct of their official duties.</p>
            </div>
            ","0","read","HHM","high","high","partial_may","/us/usc/t51/s20133__s1_k3","/us/usc/t51/s20133","","","",""
"","16896","survey-multi-choice","22","556238","0.0-22.0","","{""comp"":""Officers and employees of the Administration, as well as certain contractor and subcontractor employees protecting U.S.-owned property.""}","comprehension","HHM","","","","/us/usc/t51/s20133__s1_k3","","[0]","""Officers and employees of the Administration, as well as certain contractor and subcontractor employees protecting U.S.-owned property.""","","false"
"","3192","survey-likert","23","559431","0.0-23.0","","{""Q0"":3}","authority_rating","HHM","","","","/us/usc/t51/s20133__s1_k3","","[0]","","",""
"","36015","survey-text","24","595457","0.0-24.0","","{""Q0"":""Provision grants discretionary power to the Admin using softer language (may), which doesn't sound compulsive here. Also, reliance on judgement softens the overall tone.""}","authority_explanation","HHM","","","","/us/usc/t51/s20133__s1_k3","","","","",""
"","7388","html-button-response","25","602845","0.0-25.0","<p>Trial 7 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>A property and fiscal officer may intrust money to an officer of the National Guard to make disbursements as his agent. Both the officer to whom money is intrusted, and the property and disbursing officer intrusting the money to him, are pecuniarily responsible for that money to the United States. The agent officer is subject, for misconduct as an agent, to the liabilities and penalties prescribed by law in like cases for the property and fiscal officer for whom he is acting.</p>
            </div>
            ","0","read","LHM","low","high","partial_may","/us/usc/t32/s708__s7_k3","/us/usc/t32/s708","","","",""
"","16017","survey-multi-choice","26","618863","0.0-26.0","","{""comp"":""Both the agent officer and the property and fiscal officer remain financially responsible to the United States for the money.""}","comprehension","LHM","","","","/us/usc/t32/s708__s7_k3","","[0]","""Both the agent officer and the property and fiscal officer remain financially responsible to the United States for the money.""","","false"
"","4557","survey-likert","27","623421","0.0-27.0","","{""Q0"":3}","authority_rating","LHM","","","","/us/usc/t32/s708__s7_k3","","[0]","","",""
"","56244","survey-text","28","679676","0.0-28.0","","{""Q0"":""Clearly assigns legal responsibility and references penalties which convey institutional authority. But, relies on liability frameworks it seems rather than issuing direct commands, which softens it some.""}","authority_explanation","LHM","","","","/us/usc/t32/s708__s7_k3","","","","",""
"","7403","html-button-response","29","687079","0.0-29.0","<p>Trial 8 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>[A] partnership petition by less than all of the general partners is treated as an involuntary, not a voluntary, petition. The court may, under subsection (e), require the petitioners to file a bond to indemnify the debtor for such amounts as the court may later allow under subsection (i). Subsection (i) provides for costs, attorneys fees, and damages in certain circumstances.</p>
            </div>
            ","0","read","HHM","high","high","partial_may","/us/usc/t11/s303__s55_k3","/us/usc/t11/s303","","","",""
"","19960","survey-multi-choice","30","707049","0.0-30.0","","{""comp"":""That the petitioners file a bond to cover possible costs, fees, or damages.""}","comprehension","HHM","","","","/us/usc/t11/s303__s55_k3","","[0]","""That the petitioners file a bond to cover possible costs, fees, or damages.""","","false"
"","19102","survey-likert","31","726152","0.0-31.0","","{""Q0"":3}","authority_rating","HHM","","","","/us/usc/t11/s303__s55_k3","","[0]","","",""
"","26203","survey-text","32","752356","0.0-32.0","","{""Q0"":""The provision defines consequences and couirt power in a formal way, which seems like institutional authority. ""}","authority_explanation","HHM","","","","/us/usc/t11/s303__s55_k3","","","","",""
