"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","phase","condition","syn_level","sem_level","modal_pres","sent_id","section_id","question_order","comp_correct","comp_response","comp_accuracy"
"[{""page_index"":0,""viewing_time"":172172},{""page_index"":1,""viewing_time"":72432}]","244605","instructions","0","244640","0.0-0.0","","","","","","","","","","","","",""
"","134196","html-button-response","1","378839","0.0-1.0","<p>Trial 1 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>[A] partnership petition by less than all of the general partners is treated as an involuntary, not a voluntary, petition. The court may, under subsection (e), require the petitioners to file a bond to indemnify the debtor for such amounts as the court may later allow under subsection (i). Subsection (i) provides for costs, attorneys fees, and damages in certain circumstances.</p>
            </div>
            ","0","read","HHM","high","high","partial_may","/us/usc/t11/s303__s55_k3","/us/usc/t11/s303","","","",""
"","33968","survey-multi-choice","2","412810","0.0-2.0","","{""comp"":""That the petitioners file a bond to cover possible costs, fees, or damages.""}","comprehension","HHM","","","","/us/usc/t11/s303__s55_k3","","[0]","""That the petitioners file a bond to cover possible costs, fees, or damages.""","","false"
"","22340","survey-likert","3","435152","0.0-3.0","","{""Q0"":4}","authority_rating","HHM","","","","/us/usc/t11/s303__s55_k3","","[0]","","",""
"","155367","survey-text","4","590528","0.0-4.0","","{""Q0"":""It sounds authoritative because it uses precise legal terms and clearly explains what the court is allowed to require. The references to specific subsections also make it feel formal and official.""}","authority_explanation","HHM","","","","/us/usc/t11/s303__s55_k3","","","","",""
"","106414","html-button-response","5","696943","0.0-5.0","<p>Trial 2 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>As the Administrator deems necessary in the public interest, the Administrator may direct officers and employees of the Administration to carry firearms while in the conduct of their official duties; and authorize employees of contractors and subcontractors of the Administration who are engaged in the protection of property owned by the United States, and located at facilities owned by or contracted to the United States, to carry firearms while in the conduct of their official duties.</p>
            </div>
            ","0","read","HHM","high","high","partial_may","/us/usc/t51/s20133__s1_k3","/us/usc/t51/s20133","","","",""
"","17831","survey-multi-choice","6","714776","0.0-6.0","","{""comp"":""Officers and employees of the Administration, as well as certain contractor and subcontractor employees protecting U.S.-owned property.""}","comprehension","HHM","","","","/us/usc/t51/s20133__s1_k3","","[0]","""Officers and employees of the Administration, as well as certain contractor and subcontractor employees protecting U.S.-owned property.""","","false"
"","19831","survey-likert","7","734607","0.0-7.0","","{""Q0"":4}","authority_rating","HHM","","","","/us/usc/t51/s20133__s1_k3","","[0]","","",""
"","68765","survey-text","8","803376","0.0-8.0","","{""Q0"":""It uses clear, formal language and directly grants authority, which makes it sound official.""}","authority_explanation","HHM","","","","/us/usc/t51/s20133__s1_k3","","","","",""
"","25213","html-button-response","9","828591","0.0-9.0","<p>Trial 3 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>An apprentice may:
A) drive a commercial motor vehicle in interstate commerce while participating in the 120-hour probationary period under paragraph (2)(A) or the 280-hour probationary period under paragraph (2)(B) pursuant to an apprenticeship program established by an employer in accordance with this section; and 
(B) drive a commercial motor vehicle in interstate commerce after the apprentice completes an apprenticeship program described in paragraph (2), unless the Secretary determines there exists a safety concern.</p>
            </div>
            ","0","read","HLM","high","low","partial_may","/us/usc/t49/s31315__s142_k3","/us/usc/t49/s31315","","","",""
"","22191","survey-multi-choice","10","850784","0.0-10.0","","{""comp"":""While participating in specified probationary periods and after completing the apprenticeship program, unless the Secretary determines there is a safety concern.""}","comprehension","HLM","","","","/us/usc/t49/s31315__s142_k3","","[0]","""While participating in specified probationary periods and after completing the apprenticeship program, unless the Secretary determines there is a safety concern.""","","false"
"","35038","survey-likert","11","885823","0.0-11.0","","{""Q0"":3}","authority_rating","HLM","","","","/us/usc/t49/s31315__s142_k3","","[0]","","",""
"","113590","survey-text","12","999416","0.0-12.0","","{""Q0"":""It sounds official because it clearly explains when an apprentice can drive and includes specific rules and safety checks.""}","authority_explanation","HLM","","","","/us/usc/t49/s31315__s142_k3","","","","",""
"","21159","html-button-response","13","1020576","0.0-13.0","<p>Trial 4 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>A subpoena under this subsection may be served anywhere in the United States. A witness subpoenaed under this subsection shall receive the same fees and expenses as a witness subpoenaed in connection with a civil proceeding in a court of the United States. Nothing in this subsection is intended to allow an alien to have access to classified information.</p>
            </div>
            ","0","read","LHS","low","high","S","/us/usc/t8/s1534__s31_k4","/us/usc/t8/s1534","","","",""
"","28502","survey-multi-choice","14","1049079","0.0-14.0","","{""comp"":""They may be served anywhere in the United States and are entitled to the same fees and expenses as witnesses in federal civil proceedings.""}","comprehension","LHS","","","","/us/usc/t8/s1534__s31_k4","","[0]","""They may be served anywhere in the United States and are entitled to the same fees and expenses as witnesses in federal civil proceedings.""","","false"
"","29997","survey-likert","15","1079077","0.0-15.0","","{""Q0"":3}","authority_rating","LHS","","","","/us/usc/t8/s1534__s31_k4","","[0]","","",""
