"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","phase","condition","syn_level","sem_level","modal_pres","sent_id","section_id","question_order","comp_correct","comp_response","comp_accuracy"
"[{""page_index"":0,""viewing_time"":66096},{""page_index"":1,""viewing_time"":31328}]","97424","instructions","0","97428","0.0-0.0","","","","","","","","","","","","",""
"","66525","html-button-response","1","163955","0.0-1.0","<p>Trial 1 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The Secretary of the Treasury may by regulation prescribe for plan years beginning after December 31, 1999, mortality tables to be used in determining current liability under this subsection. Such tables shall be based upon the actual experience of pension plans and projected trends in such experience. In prescribing such tables, such Secretary shall take into account results of available independent studies of mortality of individuals covered by pension plans.</p>
            </div>
            ","0","read","LLS","low","low","S","/us/usc/t29/s1084__s70_k3","/us/usc/t29/s1084","","","",""
"","42935","survey-multi-choice","2","206891","0.0-2.0","","{""comp"":""Mortality assumptions used by private insurance companies in non-pension contexts.""}","comprehension","LLS","","","","/us/usc/t29/s1084__s70_k3","","[0]","""Actual experience and projected trends of pension plans, along with results of available independent mortality studies.""","","false"
"","57799","survey-likert","3","264691","0.0-3.0","","{""Q0"":3}","authority_rating","LLS","","","","/us/usc/t29/s1084__s70_k3","","[0]","","",""
"","155786","survey-text","4","420499","0.0-4.0","","{""Q0"":""It begins with \""may\"" when stating what the Secretary of Treasury has power to do, so it isn't completely authoritative. But then it concludes with \""shall take\"" which sounds like a command to me, so it then sounds a little authoritative.  ""}","authority_explanation","LLS","","","","/us/usc/t29/s1084__s70_k3","","","","",""
"","69399","html-button-response","5","489898","0.0-5.0","<p>Trial 2 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>A subpoena under this subsection may be served anywhere in the United States. A witness subpoenaed under this subsection shall receive the same fees and expenses as a witness subpoenaed in connection with a civil proceeding in a court of the United States. Nothing in this subsection is intended to allow an alien to have access to classified information.</p>
            </div>
            ","0","read","LHS","low","high","S","/us/usc/t8/s1534__s31_k4","/us/usc/t8/s1534","","","",""
"","13767","survey-multi-choice","6","503666","0.0-6.0","","{""comp"":""They may be served anywhere in the United States and are entitled to the same fees and expenses as witnesses in federal civil proceedings.""}","comprehension","LHS","","","","/us/usc/t8/s1534__s31_k4","","[0]","""They may be served anywhere in the United States and are entitled to the same fees and expenses as witnesses in federal civil proceedings.""","","false"
"","4887","survey-likert","7","508554","0.0-7.0","","{""Q0"":0}","authority_rating","LHS","","","","/us/usc/t8/s1534__s31_k4","","[0]","","",""
"","89879","survey-text","8","598435","0.0-8.0","","{""Q0"":""It uses the word \""may\"" to say subpoenas can be served anywhere in the U.S., so this makes the language of the draft feel not authoritative to me.""}","authority_explanation","LHS","","","","/us/usc/t8/s1534__s31_k4","","","","",""
"","62527","html-button-response","9","660962","0.0-9.0","<p>Trial 3 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>As the Administrator deems necessary in the public interest, the Administrator may direct officers and employees of the Administration to carry firearms while in the conduct of their official duties; and authorize employees of contractors and subcontractors of the Administration who are engaged in the protection of property owned by the United States, and located at facilities owned by or contracted to the United States, to carry firearms while in the conduct of their official duties.</p>
            </div>
            ","0","read","HHM","high","high","partial_may","/us/usc/t51/s20133__s1_k3","/us/usc/t51/s20133","","","",""
"","13647","survey-multi-choice","10","674610","0.0-10.0","","{""comp"":""Officers and employees of the Administration, as well as certain contractor and subcontractor employees protecting U.S.-owned property.""}","comprehension","HHM","","","","/us/usc/t51/s20133__s1_k3","","[0]","""Officers and employees of the Administration, as well as certain contractor and subcontractor employees protecting U.S.-owned property.""","","false"
"","5055","survey-likert","11","679665","0.0-11.0","","{""Q0"":0}","authority_rating","HHM","","","","/us/usc/t51/s20133__s1_k3","","[0]","","",""
"","70799","survey-text","12","750466","0.0-12.0","","{""Q0"":""The use of the word \""may\"" when it says \""Administrator may direct officers and employees of the Administration to carry firearms while in the conduct of their official duties\"" is not a harsh command and implies that there is a choice. ""}","authority_explanation","HHM","","","","/us/usc/t51/s20133__s1_k3","","","","",""
"","63895","html-button-response","13","814362","0.0-13.0","<p>Trial 4 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The Secretary may readjust the terms and conditions, except as otherwise provided herein, of any geothermal lease issued under this chapter at not less than ten-year intervals beginning ten years after the date the geothermal steam is produced, as determined by the Secretary. Each geothermal lease issued under this chapter shall provide for such readjustment. The Secretary shall give notice of any proposed readjustment of terms and conditions, and, unless the lessee files with the Secretary objection to the proposed terms or relinquishes the lease within thirty days after receipt of such notice, the lessee shall conclusively be deemed to have agreed with such terms and conditions.</p>
            </div>
            ","0","read","HHS","high","high","S","/us/usc/t30/s1007__s1_k3","/us/usc/t30/s1007","","","",""
"","19655","survey-multi-choice","14","834017","0.0-14.0","","{""comp"":""When the Secretary first determines that geothermal steam has been produced under the lease.""}","comprehension","HHS","","","","/us/usc/t30/s1007__s1_k3","","[0]","""When the lessee does not object to the proposed terms or relinquish the lease within thirty days after receiving notice.""","","false"
"","13847","survey-likert","15","847865","0.0-15.0","","{""Q0"":3}","authority_rating","HHS","","","","/us/usc/t30/s1007__s1_k3","","[0]","","",""
"","186095","survey-text","16","1033961","0.0-16.0","","{""Q0"":""By using \""shall several times, including \""shall provide\"", \""shall give notice\"", and \""shall conclusively be deemed to have agreed with such terms and conditions\"" sounds authoritative. By using \""may\"" at the beginning of the draft, it doesn't feel completely in this tone. ""}","authority_explanation","HHS","","","","/us/usc/t30/s1007__s1_k3","","","","",""
"","74791","html-button-response","17","1108753","0.0-17.0","<p>Trial 5 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The Librarian shall provide a seal to indicate that a film has been included in the National Film Registry and is the Registry version of that film. The Librarian shall establish guidelines for approval of the use of the seal in accordance with subsection (b). The seal provided under subsection (a)(3) may only be used on film or other approved copies of the Registry version of a film.</p>
            </div>
            ","0","read","LLS","low","low","S","/us/usc/t2/s179m__s7_k3","/us/usc/t2/s179m","","","",""
"","22991","survey-multi-choice","18","1131745","0.0-18.0","","{""comp"":""To indicate that a film is included in the National Film Registry, and it may be used only on the Registry version of that film or approved copies.""}","comprehension","LLS","","","","/us/usc/t2/s179m__s7_k3","","[0]","""To indicate that a film is included in the National Film Registry, and it may be used only on the Registry version of that film or approved copies.""","","false"
"","4279","survey-likert","19","1136025","0.0-19.0","","{""Q0"":4}","authority_rating","LLS","","","","/us/usc/t2/s179m__s7_k3","","[0]","","",""
"","72574","survey-text","20","1208601","0.0-20.0","","{""Q0"":""The frequent use of \""shall\"" makes the draft sound absolute in its instructions with no compromise. This sounds like a direct order to the Librarian.""}","authority_explanation","LLS","","","","/us/usc/t2/s179m__s7_k3","","","","",""
"","114511","html-button-response","21","1323112","0.0-21.0","<p>Trial 6 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>A property and fiscal officer may intrust money to an officer of the National Guard to make disbursements as his agent. Both the officer to whom money is intrusted, and the property and disbursing officer intrusting the money to him, are pecuniarily responsible for that money to the United States. The agent officer is subject, for misconduct as an agent, to the liabilities and penalties prescribed by law in like cases for the property and fiscal officer for whom he is acting.</p>
            </div>
            ","0","read","LHM","low","high","partial_may","/us/usc/t32/s708__s7_k3","/us/usc/t32/s708","","","",""
"","36552","survey-multi-choice","22","1359664","0.0-22.0","","{""comp"":""Only the agent officer is financially responsible for the money once it is entrusted to him.""}","comprehension","LHM","","","","/us/usc/t32/s708__s7_k3","","[0]","""Both the agent officer and the property and fiscal officer remain financially responsible to the United States for the money.""","","false"
"","18119","survey-likert","23","1377784","0.0-23.0","","{""Q0"":3}","authority_rating","LHM","","","","/us/usc/t32/s708__s7_k3","","[0]","","",""
"","97799","survey-text","24","1475585","0.0-24.0","","{""Q0"":""It uses the word \""may\"" at the beginning, which does not sound authoritative at all, but the closing warning of misconduct as an agent does come off as authoritative.""}","authority_explanation","LHM","","","","/us/usc/t32/s708__s7_k3","","","","",""
