"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","phase","condition","syn_level","sem_level","modal_pres","sent_id","section_id","question_order","comp_correct","comp_response","comp_accuracy"
"[{""page_index"":0,""viewing_time"":6206},{""page_index"":1,""viewing_time"":20960}]","27166","instructions","0","27170","0.0-0.0","","","","","","","","","","","","",""
"","138176","html-button-response","1","165346","0.0-1.0","<p>Trial 1 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>The Secretary may also contract for inspections or examinations in the United States and in foreign countries. The primary reason for including a provision that permits the contracting for the conduct of inspections and examinations is to provide flexibility in foreign areas where Coast Guard marine inspectors are not normally available. A contract inspector may be authorized to act on behalf of the Secretary, but may not issue a certificate of inspection or compliance.</p>
            </div>
            ","0","read","LLM","low","low","partial_may","/us/usc/t46/s3714__s19_k3","/us/usc/t46/s3714","","","",""
"","49271","survey-multi-choice","2","214617","0.0-2.0","","{""comp"":""They may act on behalf of the Secretary to conduct inspections or examinations, but may not issue a certificate of inspection or compliance.""}","comprehension","LLM","","","","/us/usc/t46/s3714__s19_k3","","[0]","""They may act on behalf of the Secretary to conduct inspections or examinations, but may not issue a certificate of inspection or compliance.""","","false"
"","55255","survey-likert","3","269873","0.0-3.0","","{""Q0"":3}","authority_rating","LLM","","","","/us/usc/t46/s3714__s19_k3","","[0]","","",""
"","198053","survey-text","4","467929","0.0-4.0","","{""Q0"":""The reason for the rating is because it explains why the rule exists instead of just stating the rule itself. I feel like it should have been less explanatory, maybe stricter.""}","authority_explanation","LLM","","","","/us/usc/t46/s3714__s19_k3","","","","",""
"","109479","html-button-response","5","577409","0.0-5.0","<p>Trial 2 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>An apprentice may:
A) drive a commercial motor vehicle in interstate commerce while participating in the 120-hour probationary period under paragraph (2)(A) or the 280-hour probationary period under paragraph (2)(B) pursuant to an apprenticeship program established by an employer in accordance with this section; and 
(B) drive a commercial motor vehicle in interstate commerce after the apprentice completes an apprenticeship program described in paragraph (2), unless the Secretary determines there exists a safety concern.</p>
            </div>
            ","0","read","HLM","high","low","partial_may","/us/usc/t49/s31315__s142_k3","/us/usc/t49/s31315","","","",""
"","41767","survey-multi-choice","6","619176","0.0-6.0","","{""comp"":""While participating in specified probationary periods and after completing the apprenticeship program, unless the Secretary determines there is a safety concern.""}","comprehension","HLM","","","","/us/usc/t49/s31315__s142_k3","","[0]","""While participating in specified probationary periods and after completing the apprenticeship program, unless the Secretary determines there is a safety concern.""","","false"
"","91104","survey-likert","7","710281","0.0-7.0","","{""Q0"":3}","authority_rating","HLM","","","","/us/usc/t49/s31315__s142_k3","","[0]","","",""
"","201719","survey-text","8","912000","0.0-8.0","","{""Q0"":""It feels official. It's not written like a conversation, its strict, explanatory. Like a teacher teaching a student.""}","authority_explanation","HLM","","","","/us/usc/t49/s31315__s142_k3","","","","",""
"","16255","html-button-response","9","928256","0.0-9.0","<p>Trial 3 of 16.</p> 
            <p> Please read the draft provision below carefully.  Make sure you understand it before moving on to the next page!</p>

            <div class=""draft-box"">
              <div class=""draft-box-title"">Draft Legislation</div>
              <p>[A] partnership petition by less than all of the general partners is treated as an involuntary, not a voluntary, petition. The court may, under subsection (e), require the petitioners to file a bond to indemnify the debtor for such amounts as the court may later allow under subsection (i). Subsection (i) provides for costs, attorneys fees, and damages in certain circumstances.</p>
            </div>
            ","0","read","HHM","high","high","partial_may","/us/usc/t11/s303__s55_k3","/us/usc/t11/s303","","","",""
